entity_type,id,name,category,resistance,lambda_learning,weight_in_qhe,frequency,target_streak,description,created_at,archived,state,hardwork_budget_hours,max_pomodoros_per_day,sleep_target_hours,qhe_target,break_minutes,allowed_phases,date,bedtime,wake_time,quality_score,deep_sleep_pct,rem_sleep_pct,interruptions,notes,source,duration_hours,label,start,end,period,routine_id,energia_nivel,foco_nivel,duration_minutes,overlaps_period,has_routine_link,block_id,routine_type,text,humor,is_entry_routine,is_exit_routine,entry_text,periods_covered,routines_completed,desvios,ajustes_finos,rotinas_logs,licoes_aprendidas,pomodoros_completos,humor_morning,humor_evening,updated_at,round_number,started_at,completed_at,paused_duration_seconds,actual_duration_minutes,is_focus_round,is_break_round,tipo_dia,hardwork_orcado_min,hardwork_realizado_min,pomodoros_meta,pomodoros_realizados,tem_curso,tem_deadline,observacoes,desvio_min,produtividade_pct,parar_de_fazer,repetir,sempre_fazer,big_win,deu_certo,deu_errado,maior_aprendizado,ajustes_para_amanha,estado_geral,eat_min,rest_min,pesado,notas,duracao_total,within_budget,codigo,ritual,duracao_min,completed,severity,rationale,setpoints,days_in_state,previous_state,qhe_input,energy_input,infraction_count,applied,applied_at,minutos,reason,block_id_before,block_id_after
policy_decision,pol_demo_131_2026_05_08,,,,,,,,,2026-05-08T20:30:00+00:00,,PUSH,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia produtivo - Q1.,"{""id"": ""set_c993e4670ac2"", ""state"": ""PUSH"", ""hardwork_budget_hours"": 8.0, ""max_pomodoros_per_day"": 10, ""sleep_target_hours"": 7.0, ""qhe_target"": 0.85, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""PUSH regime: maximum focus. 8h hard work, 10 pomodoros, sleep 7h, Q_HE target 0.85."", ""created_at"": ""2026-06-08 17:53:51.712231""}",0,,0.92,H,1,true,2026-05-08T20:30:00+00:00,,,,
sleep_record,sle_2026_05_09,,,,,,,,,2026-05-09T10:00:00+00:00,,,,,,,,,2026-05-09,20:00:00,10:00:00,10,45.0,25.0,0,Sono de recuperacao extrema - 14h.,MANUAL,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_130_00_2026_05_09,,,,,,,,,2026-05-09T07:00:00+00:00,,,,,,,,,,,,,,,,,,,Leitura,2026-05-09T07:00:00+00:00,2026-05-09T08:00:00+00:00,MANHA,,,,60,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_130_00_2026_05_09,,,,,,,,,2026-05-09T22:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,MANHA,rou_syn_130_2026_05_09,7,6,,,,,ENTRY,Rotina automatica (off=30),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_130_00_2026_05_09,,,,,,,,,2026-05-09T20:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,6,5,,,,,,,,,,Dia off=30. Tipo descanso. Energia 6/10. Foco 5/10. 0/2 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],0,4,4,2026-06-08T20:53:51.712295+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_09,,,,,,,,,2026-05-09T04:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descanso,60,30,2,0,false,false,Synthetic off=30,-30,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_09,,,,,,,,,2026-05-09T22:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 0/2 pomodoros""]",[],Sono 14h e sinal de deficit severo.,[],regular,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_09,,,,,,,,,2026-05-09T12:05:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_09,,,,,,,,,2026-05-09T08:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_09,,,,,,,,,2026-05-09T09:00:00+00:00,,,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_130_2026_05_09,,,,,,,,,2026-05-09T20:30:00+00:00,,RECOVER,,,,,,,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARNING,Sono compensatorio 14h - deficit acumulado.,"{""id"": ""set_26e7e122d187"", ""state"": ""RECOVER"", ""hardwork_budget_hours"": 2.0, ""max_pomodoros_per_day"": 2, ""sleep_target_hours"": 9.0, ""qhe_target"": 0.5, ""break_minutes"": 20, ""allowed_phases"": [""RECOVERY""], ""description"": ""RECOVER regime: hard stop. 2h hard work, 2 pomodoros, sleep 9h, Q_HE target 0.50."", ""created_at"": ""2026-06-08 17:53:51.712365""}",0,,0.35,M,0,true,2026-05-09T20:30:00+00:00,,,,
sleep_record,sle_2026_05_10,,,,,,,,,2026-05-10T06:11:00+00:00,,,,,,,,,2026-05-10,20:45:00,06:11:00,9,24.665919320742116,20.26491179056713,2,Sono normal.,MANUAL,9.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_129_00_2026_05_10,,,,,,,,,2026-05-10T06:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-10T06:30:00+00:00,2026-05-10T08:00:00+00:00,MANHA,,,,90,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_129_00_2026_05_10,,,,,,,,,2026-05-10T22:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,MANHA,rou_syn_129_2026_05_10,10,8,,,,,ENTRY,Rotina automatica (off=29),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_129_00_2026_05_10,,,,,,,,,2026-05-10T20:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,9,7,,,,,,,,,,Dia off=29. Tipo curso. Energia 9/10. Foco 7/10. 7/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],"[""Manter consistencia.""]",7,4,4,2026-06-08T20:53:51.712444+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_129_00_2026_05_10,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-10T04:00:00+00:00,2026-05-10T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_10,,,,,,,,,2026-05-10T04:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,183,8,7,true,false,Synthetic off=29,-57,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_10,,,,,,,,,2026-05-10T22:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 7/8 pomodoros""]",[],Aprendizado do dia off=29.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_10,,,,,,,,,2026-05-10T12:05:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_10,,,,,,,,,2026-05-10T08:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_10,,,,,,,,,2026-05-10T09:00:00+00:00,,,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_129_2026_05_10,,,,,,,,,2026-05-10T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_354180fbd63c"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.712503""}",0,,0.78,H,0,true,2026-05-10T20:30:00+00:00,,,,
sleep_record,sle_2026_05_11,,,,,,,,,2026-05-11T04:10:00+00:00,,,,,,,,,2026-05-11,20:36:00,04:10:00,8,19.278781004197892,22.043647804075608,0,Sono normal.,MANUAL,7.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_128_00_2026_05_11,,,,,,,,,2026-05-11T04:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-11T04:30:00+00:00,2026-05-11T08:00:00+00:00,MANHA,,,,210,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_128_00_2026_05_11,,,,,,,,,2026-05-11T22:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,MANHA,rou_syn_128_2026_05_11,8,10,,,,,ENTRY,Rotina automatica (off=28),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_128_00_2026_05_11,,,,,,,,,2026-05-11T20:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,7,9,,,,,,,,,,Dia off=28. Tipo curso. Energia 7/10. Foco 9/10. 6/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Desvio leve de horario.""]",[],[],[],6,4,3,2026-06-08T20:53:51.712577+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_128_00_2026_05_11,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-11T04:00:00+00:00,2026-05-11T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_11,,,,,,,,,2026-05-11T04:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,226,8,6,true,false,Synthetic off=28,-14,94.16666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_11,,,,,,,,,2026-05-11T22:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 6/8 pomodoros""]",[],Aprendizado do dia off=28.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_11,,,,,,,,,2026-05-11T12:05:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_11,,,,,,,,,2026-05-11T08:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_11,,,,,,,,,2026-05-11T09:00:00+00:00,,,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_128_2026_05_11,,,,,,,,,2026-05-11T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_a61a1e6ce65c"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.712635""}",0,,0.78,H,1,true,2026-05-11T20:30:00+00:00,,,,
sleep_record,sle_2026_05_12,,,,,,,,,2026-05-12T06:30:00+00:00,,,,,,,,,2026-05-12,20:26:00,06:30:00,7,20.74366558696184,20.388016773877403,0,Sono normal.,MANUAL,10.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_127_00_2026_05_12,,,,,,,,,2026-05-12T06:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-12T06:30:00+00:00,2026-05-12T08:00:00+00:00,MANHA,,,,90,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_127_00_2026_05_12,,,,,,,,,2026-05-12T22:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,MANHA,rou_syn_127_2026_05_12,7,9,,,,,ENTRY,Rotina automatica (off=27),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_127_00_2026_05_12,,,,,,,,,2026-05-12T20:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,6,8,,,,,,,,,,Dia off=27. Tipo curso. Energia 6/10. Foco 8/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],8,3,3,2026-06-08T20:53:51.712705+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_127_00_2026_05_12,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-12T04:00:00+00:00,2026-05-12T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_12,,,,,,,,,2026-05-12T04:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,234,8,8,true,false,Synthetic off=27,-6,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_12,,,,,,,,,2026-05-12T22:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=27.,[],regular,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_12,,,,,,,,,2026-05-12T12:05:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_12,,,,,,,,,2026-05-12T08:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_12,,,,,,,,,2026-05-12T09:00:00+00:00,,,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_127_2026_05_12,,,,,,,,,2026-05-12T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_ea79933d5a3f"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.712793""}",0,,0.78,M,0,true,2026-05-12T20:30:00+00:00,,,,
sleep_record,sle_2026_05_13,,,,,,,,,2026-05-13T06:00:00+00:00,,,,,,,,,2026-05-13,03:00:00,06:00:00,3,15.0,10.0,3,Sono 3h - deadline critico.,MANUAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_126_00_2026_05_13,,,,,,,,,2026-05-13T06:15:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work Emergencial,2026-05-13T06:15:00+00:00,2026-05-13T11:00:00+00:00,MANHA,,,,285,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_126_00_2026_05_13,,,,,,,,,2026-05-13T22:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,MANHA,rou_syn_126_2026_05_13,4,7,,,,,ENTRY,Rotina automatica (off=26),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_126_00_2026_05_13,,,,,,,,,2026-05-13T20:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,3,6,,,,,,,,,,Dia off=26. Tipo hardcore. Energia 3/10. Foco 6/10. 12/12 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Sono 3h. Infracao GRAVISSIMA.""]",[],[],"[""Nao repetir 2 dias seguidos.""]",12,2,2,2026-06-08T20:53:51.712871+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_126_00_2026_05_13,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-13T04:00:00+00:00,2026-05-13T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_13,,,,,,,,,2026-05-13T04:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hardcore,660,360,12,12,false,true,Synthetic off=26,-300,54.54545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_13,,,,,,,,,2026-05-13T22:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Entrega no prazo.""]","[""Subestimei o esforco.""]",3h sono nao e sustentavel.,[],ruim,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_13,,,,,,,,,2026-05-13T12:05:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_13,,,,,,,,,2026-05-13T08:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_13,,,,,,,,,2026-05-13T09:00:00+00:00,,,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_126_2026_05_13,,,,,,,,,2026-05-13T20:30:00+00:00,,RECOVER,,,,,,,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,3h sono - recuperacao 48h obrigatoria.,"{""id"": ""set_8d788c09f7a2"", ""state"": ""RECOVER"", ""hardwork_budget_hours"": 2.0, ""max_pomodoros_per_day"": 2, ""sleep_target_hours"": 9.0, ""qhe_target"": 0.5, ""break_minutes"": 20, ""allowed_phases"": [""RECOVERY""], ""description"": ""RECOVER regime: hard stop. 2h hard work, 2 pomodoros, sleep 9h, Q_HE target 0.50."", ""created_at"": ""2026-06-08 17:53:51.712932""}",0,,0.35,L,1,true,2026-05-13T20:30:00+00:00,,,,
sleep_record,sle_2026_05_14,,,,,,,,,2026-05-14T04:16:00+00:00,,,,,,,,,2026-05-14,20:58:00,04:16:00,6,21.379927165690553,22.14186279187546,1,Sono normal.,MANUAL,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_125_00_2026_05_14,,,,,,,,,2026-05-14T04:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-14T04:30:00+00:00,2026-05-14T08:00:00+00:00,MANHA,,,,210,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_125_00_2026_05_14,,,,,,,,,2026-05-14T22:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,MANHA,rou_syn_125_2026_05_14,9,7,,,,,ENTRY,Rotina automatica (off=25),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajuste_fino,adj_demo_125_00_2026_05_14,,,,,,,,,2026-05-14T20:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,TARDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,Ajuste automatico de bloco.,,
journal_entry,jrn_demo_125_00_2026_05_14,,,,,,,,,2026-05-14T20:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,8,6,,,,,,,,,,Dia off=25. Tipo curso. Energia 8/10. Foco 6/10. 7/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],7,3,3,2026-06-08T20:53:51.713013+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_125_00_2026_05_14,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-14T04:00:00+00:00,2026-05-14T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_14,,,,,,,,,2026-05-14T04:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,213,8,7,true,false,Synthetic off=25,-27,88.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_14,,,,,,,,,2026-05-14T22:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 7/8 pomodoros""]",[],Aprendizado do dia off=25.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_14,,,,,,,,,2026-05-14T12:05:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_14,,,,,,,,,2026-05-14T08:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
